event_id,event_date,symbol,event_type,direction,confidence,source_url,notes
lb41260998-dell-disclosure-buy,2026-02-10,DELL,disclosure_buy,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states Trump bought USD 1M-5M of Dell on 2026-02-10; requires official filing verification."
lb41260998-dell-public-mention,2026-05-08,DELL,public_mention,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states White House Mother's Day remarks included a Dell purchase remark."
lb41260998-dell-market-reaction,2026-05-28,DELL,market_reaction,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article marks Dell earnings after-hours reaction and AI server revenue context."
lb41260998-mu-disclosure-buy,2026-03-25,MU,disclosure_buy,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states Trump bought Micron on 2026-03-25."
lb41260998-mu-public-mention,2026-03-26,MU,public_mention,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states Trump mentioned Micron in a Fox live call after the buy."
lb41260998-mu-public-mention-2,2026-05-22,MU,public_mention,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states a later positive remark about Micron on 2026-05-22."
lb41260998-aapl-disclosure-buy,2026-03-11,AAPL,disclosure_buy,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states account bought Apple on the same day as a Kentucky speech praising Apple and Cook."
lb41260998-aapl-public-mention,2026-03-11,AAPL,public_mention,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states Trump praised Apple and Tim Cook during a Kentucky speech."
lb41260998-tmo-disclosure-buy,2026-03-11,TMO,disclosure_buy,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states account bought Thermo Fisher on the same morning as an Ohio factory visit."
lb41260998-tmo-public-mention,2026-03-11,TMO,public_mention,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states Trump visited a Thermo Fisher facility and urged pharmaceutical companies to cooperate."
lb41260998-intc-policy-capital,2026-05-01,INTC,policy_capital,bullish,low,https://longbridge.com/zh-CN/topics/41260998.md,"Article states U.S. government equity capital and policy support; date is month-level placeholder pending official timestamp."

