member_id,name,label,notes,profile_url,followers_count,following_count,activities_count,liked_count,bookmarked_count
,煎饼小狗,screenshot_following,收益排行/资产规模标签,,,,,,
,trend_OptsDaily,screenshot_following,all in ai,,,,,,
,ricky.sun,screenshot_following,收益排行/资产规模标签,,,,,,
,z个两,screenshot_following,收益排行/资产规模标签,,,,,,
,昆仑山岩石,screenshot_following,趋势和确定性交易,,,,,,
,京城乙先生,screenshot_following,A股/公众号相关,,,,,,
,AngerBird,screenshot_following,交易金额/收益排行标签,,,,,,
,保持平和,screenshot_following,特斯拉评论员,,,,,,
,钢铁纪律,screenshot_following,Money is made by sitting not trading,,,,,,
,Longbridge 小乔,screenshot_following,Longbridge 官方账号,,,,,,
,巴菲Te北京分特,screenshot_following,耐心目标,,,,,,
,唐纳德·特朗普,trump_tracking,Donald Trump 相关动态追踪,,,,,,
,xiaozhaolucky,screenshot_following,高收益/高点赞标签,,,,,,
,雨宫若杉,screenshot_following,TSLL 收益率标签,,,,,,
,Fiin,screenshot_following,收益排行/止盈止损纪律,,,,,,
,我黄某人必赚一个亿,screenshot_following,收益排行标签,,,,,,
,Jack Zhang2991,screenshot_following,收益排行标签,,,,,,
,英伟达de躺平交易员,screenshot_following,英伟达/长期持有,,,,,,
,mstr 大空头,screenshot_following,MSTR 相关,,,,,,
,期权君,screenshot_following,期权交易,,,,,,
,纳斯达克战士,screenshot_following,纳斯达克/资讯观点,,,,,,
,尊道而行 端然正己,screenshot_following,社区人气作者,,,,,,
15228814,知行合一再投资,profile_url,amazon/baba退休老人 2025新晋期权学习者，不做空/不融资/价值投资=微软/亚马逊+tsm+hood/pltr; followers=2291; activities=228; liked=1690; bookmarked=533,https://longbridge.com/profiles/15228814,2291,21,228,1690,533
,唐同学投资日记,screenshot_following,Apple U 投资日记,,,,,,
,木头姐每天交易了什么,screenshot_following,女股神/ARK 交易跟踪,,,,,,
,价值&投资,screenshot_following,价值投资,,,,,,
,lyhalfway,screenshot_following,基本面分析,,,,,,
,彩子,screenshot_following,交易金额/高点赞标签,,,,,,
,基进基出,screenshot_following,长期价值守望者,,,,,,
,Owen聊投资,screenshot_following,跨市场投资经验,,,,,,
,海豚研究,screenshot_following,观点发布/高点赞标签,,,,,,
,热点君,screenshot_following,热点认知交易,,,,,,
,割麻了,screenshot_following,重磅新闻筛选,,,,,,
